Richie gained 1.0 points because Rome won another competition during week 1.
Richie gained 0.0 points because Chuk won another competition during week 1.
Richie gained 3.0 points because Jason won another competition during week 1.
Joe_C gained 4.5 points because Rome won another competition during week 1.
Joe_C lost 0.5 points because Chuk won another competition during week 1.
Joe_C lost 2.0 points because Jason won another competition during week 1.
Peggy gained 3.5 points because Rome won another competition during week 1.
Peggy lost 1.0 points because Chuk won another competition during week 1.
Peggy gained 2.0 points because Jason won another competition during week 1.
Shannon gained 4.0 points because Rome won another competition during week 1.
Shannon gained 1.0 points because Chuk won another competition during week 1.
Shannon lost 1.5 points because Jason won another competition during week 1.
Maggie lost 2.5 points because Rome won another competition during week 1.
Maggie lost 1.0 points because Chuk won another competition during week 1.
Maggie gained 0.5 points because Jason won another competition during week 1.
Karen gained 2.0 points because Rome won another competition during week 1.
Karen lost 1.5 points because Chuk won another competition during week 1.
Karen lost 0.5 points because Jason won another competition during week 1.
Theresea gained 3.5 points because Rome won another competition during week 1.
Theresea gained 3.0 points because Chuk won another competition during week 1.
Theresea lost 1.0 points because Jason won another competition during week 1.
Charlie lost 2.0 points because Rome won another competition during week 1.
Charlie gained 0.0 points because Chuk won another competition during week 1.
Charlie gained 4.5 points because Jason won another competition during week 1.
Kirsten lost 2.5 points because Rome won another competition during week 1.
Kirsten gained 1.0 points because Chuk won another competition during week 1.
Kirsten lost 2.0 points because Jason won another competition during week 1.
Bishan lost 3.0 points because Rome won another competition during week 1.
Bishan gained 0.0 points because Chuk won another competition during week 1.
Bishan lost 2.0 points because Jason won another competition during week 1.
Bob_Shea gained 0.5 points because Rome won another competition during week 1.
Bob_Shea gained 4.5 points because Chuk won another competition during week 1.
Bob_Shea gained 0.0 points because Jason won another competition during week 1.
Anna gained 2.5 points because Rome won another competition during week 1.
Anna gained 0.0 points because Chuk won another competition during week 1.
Anna lost 1.0 points because Jason won another competition during week 1.
Danielle gained 2.5 points because Rome won another competition during week 1.
Danielle lost 1.0 points because Chuk won another competition during week 1.
Danielle gained 1.5 points because Jason won another competition during week 1.
Sharon gained 3.0 points because Rome won another competition during week 1.
Sharon gained 4.0 points because Chuk won another competition during week 1.
Sharon gained 0.5 points because Jason won another competition during week 1.
Steph lost 1.5 points because Rome won another competition during week 1.
Steph gained 0.5 points because Chuk won another competition during week 1.
Steph gained 3.5 points because Jason won another competition during week 1.
Bern gained 5.0 points because Rome won another competition during week 1.
Bern gained 1.5 points because Chuk won another competition during week 1.
Bern gained 3.0 points because Jason won another competition during week 1.
Caroline gained 1.5 points because Rome won another competition during week 1.
Caroline gained 3.5 points because Chuk won another competition during week 1.
Caroline lost 1.5 points because Jason won another competition during week 1.
Dee_L lost 3.0 points because Rome won another competition during week 1.
Dee_L gained 0.5 points because Chuk won another competition during week 1.
Dee_L gained 3.5 points because Jason won another competition during week 1.
Terri gained 4.5 points because Rome won another competition during week 1.
Terri gained 2.0 points because Chuk won another competition during week 1.
Terri gained 2.5 points because Jason won another competition during week 1.
ChatGPT lost 3.0 points because Rome won another competition during week 1.
ChatGPT gained 3.5 points because Chuk won another competition during week 1.
ChatGPT gained 2.5 points because Jason won another competition during week 1.
Average gained 1.5 points because Rome won another competition during week 1.
Average gained 0.0 points because Chuk won another competition during week 1.
Average lost 0.5 points because Jason won another competition during week 1.
